state_fips,drought_lvl,area_pct,time_range
15,D4,0.1618007662835248,2001-2021
15,None,44.2385632183908,2001-2021
16,D0,21.63647509578544,2001-2021
16,D1,16.697969348659004,2001-2021
16,D2,13.406273946360152,2001-2021
16,D3,6.550296934865901,2001-2021
16,D4,1.45566091954023,2001-2021
16,None,40.253045977011496,2001-2021
17,D0,12.698256704980842,2001-2021
17,D1,5.932835249042146,2001-2021
17,D2,2.4644540229885057,2001-2021
17,D3,1.2628831417624522,2001-2021
17,D4,0.0478544061302682,2001-2021
17,None,77.59346743295019,2001-2021
18,D0,12.484291187739464,2001-2021
18,D1,4.423362068965517,2001-2021
18,D2,1.550507662835249,2001-2021
18,D3,0.4761685823754789,2001-2021
18,D4,0.1025095785440613,2001-2021
18,None,80.96299808429119,2001-2021
19,D0,14.36669540229885,2001-2021
19,D1,8.77375478927203,2001-2021
19,D2,5.531388888888889,2001-2021
19,D3,2.2125478927203064,2001-2021
19,D4,0.0439367816091954,2001-2021
19,None,69.07158045977012,2001-2021
54,D0,14.370450191570882,2001-2021
54,D1,3.309118773946361,2001-2021
54,D2,0.872183908045977,2001-2021
54,D3,0.1439750957854406,2001-2021
54,D4,0.0,2001-2021
54,None,81.30425287356321,2001-2021
55,D0,15.959885057471263,2001-2021
55,D1,9.530862068965517,2001-2021
55,D2,4.012777777777778,2001-2021
55,D3,0.4298850574712644,2001-2021
55,D4,0.0,2001-2021
55,None,70.06698275862068,2001-2021
56,D0,17.14843869731801,2001-2021
56,D1,13.222365900383142,2001-2021
56,D2,15.272471264367816,2001-2021
56,D3,12.00912835249042,2001-2021
56,D4,1.924147509578544,2001-2021
56,None,40.42311302681993,2001-2021
1,D0,15.308947368421052,2001-2010
1,D1,8.648765182186235,2001-2010
1,D2,6.003744939271255,2001-2010
1,D3,3.331356275303644,2001-2010
1,D4,3.604757085020243,2001-2010
1,None,63.10226720647773,2001-2010
2,D0,17.47161943319838,2001-2010
2,D1,0.2872874493927125,2001-2010
2,D2,0.0,2001-2010
2,D3,0.0,2001-2010
2,D4,0.0,2001-2010
2,None,82.24109311740891,2001-2010
4,D0,21.140303643724696,2001-2010
4,D1,17.601518218623482,2001-2010
4,D2,19.78178137651822,2001-2010
4,D3,16.255364372469636,2001-2010
4,D4,2.0763157894736843,2001-2010
4,None,23.14421052631579,2001-2010
5,D0,16.269412955465587,2001-2010
5,D1,8.584473684210526,2001-2010
5,D2,5.156032388663967,2001-2010
5,D3,1.1122874493927126,2001-2010
5,D4,0.1564574898785425,2001-2010
5,None,68.72151821862349,2001-2010
6,D0,18.059696356275303,2001-2010
6,D1,19.120425101214572,2001-2010
6,D2,13.966336032388664,2001-2010
6,D3,5.056113360323886,2001-2010
6,D4,0.0,2001-2010
6,None,43.79722672064778,2001-2010
8,D0,25.355647773279355,2001-2010
8,D1,14.664514170040484,2001-2010
8,D2,10.462327935222673,2001-2010
8,D3,10.493765182186236,2001-2010
8,D4,1.257651821862348,2001-2010
8,None,37.76609311740891,2001-2010
9,D0,13.667611336032389,2001-2010
9,D1,4.674716599190283,2001-2010
9,D2,4.020465587044535,2001-2010
9,D3,0.0985425101214574,2001-2010
9,D4,0.0,2001-2010
9,None,77.5387044534413,2001-2010
10,D0,14.79821862348178,2001-2010
10,D1,8.713542510121457,2001-2010
10,D2,5.739574898785425,2001-2010
10,D3,2.41751012145749,2001-2010
10,D4,0.2754655870445344,2001-2010
10,None,68.05568825910932,2001-2010
12,D0,19.07578947368421,2001-2010
12,D1,8.855344129554656,2001-2010
12,D2,4.230485829959514,2001-2010
12,D3,1.158744939271255,2001-2010
12,D4,0.003825910931174,2001-2010
12,None,66.67623481781376,2001-2010
13,D0,17.91410931174089,2001-2010
13,D1,12.417732793522266,2001-2010
13,D2,10.064109311740893,2001-2010
13,D3,5.417267206477733,2001-2010
13,D4,2.0835627530364373,2001-2010
13,None,52.10293522267206,2001-2010
15,D0,29.13287449392713,2001-2010
